Adelphi University;6,562;NY;166;0.28;74%;0.29;60,500;0.74;1.31;B+;4.00;2.40;$318,000;0.69;$888,000;0.73;$8,995;0.50;1.92;$38,740;0.51;0.44;$28,738;0.69;3%;0.44;1.14;Survive
Agnes Scott College;998;GA;58;0.74;70%;0.38;14,800;0.27;1.39;A;4.66;2.80;$213,000;0.10;$596,000;0.09;$10,013;0.60;0.80;$41,160;0.57;0.20;$229,886;0.16;4%;0.54;0.70;Struggle
Albion College;1,509;MI;140;0.38;68%;0.43;18,100;0.33;1.14;C+;3.00;1.80;$282,000;0.52;$744,000;0.44;$7,170;0.24;1.20;$45,590;0.68;0.13;$115,513;0.32;1%;0.14;0.45;Struggle
Allegheny College;1,724;PA;82;0.64;64%;0.51;22,200;0.40;1.55;B;3.66;2.20;$277,000;0.47;$773,000;0.53;$10,638;0.67;1.67;$47,540;0.72;0.29;$128,095;0.29;4%;0.54;0.83;Struggle
American University;11,435;DC;77;0.66;32%;0.84;110,000;0.89;2.39;B;3.66;2.20;$296,000;0.61;$890,000;0.73;$8,116;0.40;1.74;$48,459;0.74;0.46;$59,154;0.51;3%;0.44;0.95;Survive
Amherst College;1,855;MA;2;1.00;13%;0.95;60,500;0.74;2.69;A+;5.00;3.00;$382,000;0.87;$1,015,000;0.88;$18,413;0.91;2.66;$56,426;0.99;0.81;$1,281,691;0.02;7%;0.69;0.71;Thrive
Arizona State University-Tempe;46,180;AZ;117;0.50;85%;0.09;1,900;0.07;0.66;A+;5.00;3.00;$322,000;0.71;$786,000;0.56;$10,598;0.66;1.93;$19,579;0.19;0.75;$15,603;0.84;6%;0.67;1.51;Survive
Auburn University;25,806;AL;104;0.55;75%;0.28;135,000;0.92;1.74;A+;5.00;3.00;$273,000;0.45;$748,000;0.46;$6,521;0.14;1.05;$20,900;0.22;0.93;$29,892;0.69;1%;0.14;0.83;Thrive
Augustana College;2,534;IL;92;0.59;64%;0.51;27,100;0.48;1.57;A-;4.33;2.60;$285,000;0.53;$791,000;0.57;$6,303;0.11;1.20;$42,135;0.59;0.31;$66,351;0.46;11%;0.82;1.29;Perish
Austin College;1,295;TX;117;0.50;55%;0.66;18,100;0.33;1.49;C+;3.00;1.80;$278,000;0.48;$748,000;0.46;$6,869;0.20;1.14;$39,960;0.54;0.21;$109,463;0.32;1%;0.14;0.46;Struggle
Azusa Pacific University;7,194;CA;228;0.14;69%;0.43;40,500;0.61;1.17;B;3.66;2.20;$274,000;0.45;$772,000;0.52;$10,085;0.61;1.59;$38,880;0.52;0.29;$12,081;0.89;0%;0.00;0.89;Struggle
Baker University;1,119;KS;254;0.08;88%;0.06;12,100;0.22;0.36;A;4.66;2.80;$307,000;0.64;$807,000;0.60;$6,311;0.12;1.36;$29,830;0.38;0.14;$34,453;0.65;3%;0.44;1.10;Perish
Ball State University;15,926;IN;192;0.22;65%;0.49;60,500;0.74;1.45;A-;4.33;2.60;$252,000;0.29;$652,000;0.18;$7,465;0.30;0.77;$18,182;0.15;0.69;$13,453;0.86;0%;0.00;0.86;Thrive
Bard College;2,121;NY;62;0.73;65%;0.49;49,500;0.68;1.90;C;2.66;1.60;$177,000;0.04;$564,000;0.05;$21,360;0.95;1.04;$54,680;0.91;0.13;$69,834;0.44;17%;0.95;1.39;Perish
Barnard College;2,519;NY;25;0.89;14%;0.94;60,500;0.74;2.58;A+;5.00;3.00;$343,000;0.78;$907,000;0.77;$12,969;0.79;2.34;$55,032;0.93;0.72;$136,998;0.26;12%;0.83;1.10;Survive
